불용어 제거 리뷰,키워드,제품명,피부타입,기능
빠른배송 감사합니다 따가움이 없어서 좋네요 재구매 입니다,"빠른배송, 감사합니다",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
피부가 예민한 날에는 바르면 따가워요 건조하거나 할때에는 안바르는게 좋은것 같습니다 가성비템으로 좋은것 같아요,"피부가, 예민한",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
꾸준히 사용하지 않아 미백효과가 뚜렷히 나오진 않았지만 따로 트러블이 나거나 하진 않았어용,"꾸준히, 사용하지",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
드림으로 2시간만에 받아봤어요 효과가 있었으면 좋겠습니당,"드림으로, 2시간만에",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
매우매우 좋습니다 세일때 저렴하게 구매하네요,"매우매우, 좋습니다",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
아침에 피부노화에 도움된다해 쓰고 있어요 보습에 좋은 거 같네요ㅣ,"아침에, 피부노화에",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
펩타이드 스킨 부스터 바르고나서 비타민 세럼 발라주면 좋을 거 같네요 피부에 자극은 느껴집니다 못 참을 만큼은 아니지만 꽤 따갑게 느껴져요 잡티와 미백에 좋다고 하니 잘 발라보려고요,"펩타이드, 스킨",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
비타민 씨 함량이 높음거 같아 주문했어요 피부가 칙칙해 보여 도움 받고자 주문했어요 효과가 있었음 좋겠내요 한달 후 후기 작성 할깨요,"비타민, 함량이",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
생각보다 미백효과가 있습니다 하고나면 얼굴이 화끈거리는게 있더라구요 리뷰에서 노란색이 묻어나온다 하는게있던데 저는 없었습니다,"생각보다, 미백효과가",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
한번에 3포이트 쓰는데 바르다 보니 처음에는 따가워요 물처럼 나왔다가 피부에 흡수되면서 끈적끈적하게 변합니다 아누아 비타민세럼과 비슷해요 여기가 더 저렴해서 두세트 샀어오 꾸준히 발라볼게요,"한번에, 3포이트",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
비타민 씨 세럼을 찾아보다가 코스알엑스 더 비타민 23 톤업 미백 집티세럼이 꽤 유명한 같아 첫 구매를 했습니다 건성에 얇은 피부를 갖고 있는데요 처음 뚜껑을 개봉할 가스가 새어나오는 소리가 나서 살짝 놀랐네요 세안 후 피부에 도포했을 따끔하고 자극이 느껴졌고 흡수는 금방 되었지만 끈적임이 남더군요 수분크림으로 급하게 마무리 햬주니까 그니마 괜찮았습니디 피부에 좋은 성분인건 잘 알겠는데 제품의 향이 불호이고 피부 자극과 제형의 끈끈함 보관방법이 까다로운 점은 분명 쉽지 않아 보여요ㅠㅠ,"비타민, 세럼을",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
비타민 고함량 제품 좋은데 주르륵 흘러서 손톱 노래지는 건 겪나요 개인적으로 두드려서 흡수하면 두 배는 더 끈적이는 느낌 마무리감이 좋다고는 말 못하겠지만 한 통 다 비우면 확실히 미백 효과 보여요,"비타민, 고함량",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
온가족 사랑템 가족중 엄마랑 오빠도 사용합니당 나이 성별 피부타입이 다른데도 모두가 잘 사용해요 아주 좋습니당 엄마는 매일 매일 잠자다가 일어나서도 사용하세요 ㅋㅋ 오빠는 피부 컨디션 안 좋을때마다 사용합니다 저는 생각날때마다 사용해요 제품은 고가의 비타민 제품이 저렴이 버전이는게 이해가 돼요 바로 단점으로 헷 제가 온가족이 쓸정도로 좋다고 했는데 별이 3개냐면용 진짜진짜 큰 단점 아쉬운점이 있어요 제가 이거 바르고 이불덮고 자면 꼭 이불에 묻어요 이불만 그럴거 같죵 아니에요 제품이 닿는 곳곳 다 묻어요 이불 옷 베개에 다 묻어요 증말 세탁하면 지워지긴 합니다 저는 잠잘때 옆으로 누워서 자는 습관때문에 베개랑 옷에 다 묻어요 제품 제품 사용했을때는 묻진 않는데 말이죠 제가 제품을 매일 사용하지 않습니다 묻는거 같아요 엄마랑 오빠는 아무말도 안하더라구요 어떤 제품과 사용하면 좋은지 저는 항상 말하지만 코스알엑스 더 펩타이드 세럼인데요 펩타이드랑 사용하면 시너지가 배가 되어서 더 좋은 효과를 보실 수 있어요 가끔 세럼이 자극적으로 느껴지실수도 있는데 펩타이드 사용하고 나서 이거 바르면 자극도가 확 줄더라구요 어느 계절에 사용하면 좋을지 저는 개인적으로 제품은 계절을 타지 않는다고 생각해요 굳이 계절을 추천해보자면 겨울에 사용하시는걸 추천드러용 여름에는 스킨케어 가볍게 가볍게 하는게 좋거든용 무거운 느낌 너무 끈적하다고 느껴진다면 사용하고 나서 끈적하다고 느껴지시면 가벼운 수분크림을 발라보세요 저는 항상 이거 사용하고 나서 무조건 크림을 바릅니당 향 순수 비타민이다 보니까 어쩔수 철 향이 느껴진다고 해요 저는 신경쓰이지 않더라구요 신경쓰이는 정도는 사람에 바른거 같아요 비타민 유도체와 다른점 1 흡수율 유도체 낮음 순수 작은입자로 흡수율 높임 2안정성 유도체 빛과 열에 강함 순수 빛 열 산소에 취약하여 안정화가 어려운 순수비타민를 최적 배합하여 안정성제고 하였어요 여러분도 유도체랑 순수 비타민 사용해보시면 아시겠지만 확실히 순수 비타민이 더 잘 효과가 나타나요 낮에바를거면 무조건 선크림 빛과 열에 취약한 순수비타민은 낮에 바를시 선크림이 필수입니당 도움이 되셨다면 도움이 돼요를 눌러주세요 오늘도 좋은 하루 보내세요,"온가족, 사랑템",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
코스알엑스 앰플 세럼 한달사용후기 아직도 자극이 있어요 적응할만도한데 일부분이 따끔합니다 오전에 사용할 비타민 씨 에센스를 찾다가 올리브영에서 후기가 좋아서 구매해보았어요 마음에 드는점 1 부드럽게 발리고 화장이 밀리지않아요 2 산뜻하게 잘 발려요 3 저는 극건성피부이고 민감성인데 자극이 느껴집니다 많이는아니고 피부 일부분이 따끔이요 4 건조해요저는 극건성피부입니다 구매한이유 비타민씨 필요하고 가격 적당하고 유명하고 왠지 비타민가득 할듯하여 피부에 주고자 구매했어요 보습감 부드럽게 도포되고 쓱 스며들고 보습감 없어요 사실 저는 극건성피부라 해당제품을 사용후 보습에 신경씁니다 당김 있어요 발림성 맹물보다는 진한 같은 느낌 비타민 느낌으로 바르면 그냥저럭 입니다 무엇보다 화장이 안밀려서 좋고 효과보았음 해요,"코스알엑스, 앰플",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
피부가 푸석푸석해져서 화장품을 여러개 구매해봤습니다 현재 바르고 있는 화장품 중 성능이 뛰어나요 1개를 어머니 드렸습니다 피부 진정도 되고 탱글탱글 결이 올라온 듯 합니다 냄새가 별로라는 리뷰 봤는데 냄새 원액 같은 느낌이라 전 좋았습니다,"피부가, 푸석푸석해져서",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
11 기획으로 용량도 더 넉넉하고 오일세럼이라 건조하지 않아요,"11, 기획으로",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
비타민세럼은 여러종류를 바꿔가면서 써봤어요 올영세일기간에 후기도좋고 추천도해서 구매했어요 사은품까지받으니 좋아요,"비타민세럼은, 여러종류를",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
순수비타민가 좋다고 해서 선물용으로 구매했는데 효과있음 좋겠네요,"순수비타민가, 좋다고",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
안써봤는데 마침 세일도 리뷰도 괜찮길래 한 번 구매해봅니다,"안써봤는데, 마침",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
미백에 큰 효과는 모르겠으나 사용 중 매우매우 끈적해서 바르고 어찌해야하는지를 모르겠자고 일어나면 침구류가 노랗게 되어있음,"미백에, 효과는",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
효과는 있는 같지만 사용방법이나 자극 불편해서 재구매는 안해요,"효과는, 있는",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
철냄새 피냄새 라는데 저는 곡물냄새 느껴졌어요 의문점 함량이 종류별류있는지모르고 첨부터 높은걸 쓰게됐는데 괜찮은거 같아요 바르고 는 별도로 먹기도 하는데 피부 환해지길 ㅠ,"철냄새, 피냄새",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
시판중인 비타민 씨 저렴한 같습니다 꽤 통 구입해서 사용중입니다 건조하기 제품을 사용하고ㅠ나면 보습을 꽤 신경써줘야합니다,"시판중인, 비타민",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
저녁에 바르고 있고 흔들어서 사용해요 얼굴에 큰 변화는 없지만 아주 조금씩 얼굴 톤이 밝아지는 느낌이 들어요,"저녁에, 바르고",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
피부 미백을 구매했어요 열자마자 빵 소리가 났는데 그런가 같네용 냉장보관해서 사용해야겠어요,"피부, 미백을",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
이거 비추입니다 꾸준히 써봤는데 좋은지도 모르겠고 누우면 배개에 다 묻어요 비타민이 심하게 묻고 냄새도 별로여서 비추에요 다른거 쓰세요,"이거, 비추입니다",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
바르자마자는 산화되어 약건 노란색이나 아침에 일어나서 세수하면 환해진 얼굴을 마주할 수 있습니다 23 비타민 함량으로 콜라겐 형성도 촉진되어 아침에 볼 집어보면 느껴지는 탱탱함의 정도애도 처이가 있구요 바르면 자극이 따끔따끔 옵니다 저는 일주일에 1번으로도 자국이 와서 다음에는 알파알부틴 구매해보려 합니다,"바르자마자는, 산화되어",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
올영 세일기간에 리뷰가 좋아서 처음 구매해 보았어요 잡티 주름 미백에 좋다고 해서 꾸준히 발라 보려고요 처음 발라 보았는데 가벼운 제형이라 좋았어요 생각보다 꾸덕한 느낌이 아닙니다 향도 안나고 비타민이다 보니 냉장 보관해야하도 사용전 흔들어 사용하고 개봉후 2달안에 사용해야한다라는 주의 사항이 많네요 꾸준히 바르고 잡티 주름제거에 도움이 되었으면 합니다 세일기간이라 저렴했어요,"올영, 세일기간에",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
,nan,코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
상품 잘 받았어요사용해보니 광고하신 내용처럼 촉촉해지고 붉은색얼굴이 밝아지는것 같아요향도 좋아요비타민성분이 들어간다생각하니 탱탱해지는것 같아요계속 사용해보고 좋아지면 지인들게도 공유할게요구성품들 넘 맘에 들어요,"상품, 받았어요사용해보니",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
비타민 유도체 비타민 제품 다 써봐도 빨갛게 부어오르고 나무 표면처럼 딱딱해지고 맞지 않는데 제품 쓰고 알러지 미백효과만 탁월하게 있습니다 기미 잡티는 사실 레이저 시술 해야하는거고 휴가 심하게 탔었는데 제품 바르고 일주일만에 하얘졌어요 내용물이 끈적해서 외출 하기 전에 바르면 화장이 다 뜹니다 외출 하지 않는 날 전에 바르면 효과 좋아요,"비타민, 유도체",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
비타민 세럼이 유명해서 구매해봤습니다 비타민 유도체 제품만 쓰다가 이번에는 유도체 진자 비타민를 써보자 해서 구매해봤어요 빛에 민감하기 저녁에만 발라주고 있어요 효과가 좋은지는 더 발라봐야 알것 같아요 자극은 없는 같아서 좋아요,"비타민, 세럼이",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
솔직히 순수비타민이다보니 자극이 적지도 않고 일반적인 세럼들과 비교하면 사용감 자체는 그닥 좋지 않은 편인데다가 냄새도 좋지 못함 그걸 감안하고 사서 쓸 정도로 효과가 좋다 여름에 탄 피부랑 몇몇 잡티는 꼭 이거 써서 되돌리는 편 애초에 순수비타민 자체가 자극이 느껴지고 저런 냄새와 저런 사용감이니까 처음에 쓸 땐 자극이 꽤 있어서 적응하는데 시간이 걸리는데 효과는 그만큼 빠르고 확실하게 나타난다 잡티 흔적도 금방 옅어지고 타서 어두워졌던 피부도 원래대로 잘 돌아옴 가성비도 괜찮은 편이라 아주 애정하는 제품,"솔직히, 순수비타민이다보니",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
이거 리뷰에 가끔 배게에 묻어나요ㅜㅜ 이런말있어서 걱정했으나 저는 크게 묻어남 없었습니다 자극감은 없고 맛이 신맛이 나용 입에 들어가서 먹게되었습니다 흡수다되면 피부가 쫀덕 느낌이 됩니다 뭔가 큰 효과는 며칠 사용치않아 모르겠으나 한달리뷰로 돌아오겠습니다,"이거, 리뷰에",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
트러블이 올라와있는 상태라 사용 못 하는 중이라 효과는 모르겠네여 ㅜ 빨리 사용해서 하얘지고싶아요,"트러블이, 올라와있는",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
올리브영에서 1위라고 해서 기존 사용하던 제품이 끝이 보여서 주문해봤어요 1 1 1 잘 구입했어요 세럼 덕에 나도 깨끗하고 주름없는 피부로 살고 싶네요 오늘드림으로 저녁늦게 받았어요,"올리브영에서, 1위라고",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
쿠ㅍ에서 써보고 올영세일하길래 재구매해요 한통 다 썼을때 잡티 줄어들었고 이주정도 안 발랏는데 잡티 올라와서 급하게 구매했어요 처음엔 살짝 따가운데 피부가 예민하신분은 테스터같은거 받아서 써보시고 본품 구매하시길 추천드려요 저는 속건조만 있는 건성인데 사실 피부타입 속건조가잇다 말곤 잘 모르겟어요,"쿠ㅍ에서, 써보고",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
갑자기 피부가 뒤집어져서 유튜브로 막 찾아보다가 발견한 제품이에요 유튜버들이 좋다고는 하는데 사실 거 믿기 힘들잖아요 ㅠ 저도 고민이 많았는데 구매를 고민할 정도의 피부 컨디션이 아니었어요 뭐라도 빨리 발라서 진정을 시켜야 할 정도로 나쁜 컨디션의 피부가 돼서 이걸 꾸준히 바르니까 괜찮아졌어요 피부 고민이 있으신 분이라면 꼭 한 번은 시도해볼만 하다고 생각해요 어디서 이상한 냄새가 난다 했더니 범인은 이것 비타민씨 냄새가 이렇다고 하니 손 닦으면서 썼는데 취향은 아니에요 미백은 효과 못 봤어요,"갑자기, 피부가",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
열자마자 알약 캡슐 향이라 해야 되게 역한 향이 올라오더라구요 발라도 되는 건가 싶었지만 바르고 나서 일정 향이 올라왔습니다 ㅠ 제가 피부에 안맞는 제품 바르면 턱 주변이나 볼이 간질간질한데 턱 주변이 간지럽더라구요 ㅠ 써보자 싶어서 스킨 케어 제품 열어봤는데 냄새 나서 다시는 안 쓸 거 같아요 ㅠ,"열자마자, 알약",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
이거 살았는지 기억이 안나염 인생템임 나만 알기 아까워서 다 추천하고 다님 자극은 있어여 피부컨디션 안좋은날엔 이거 맞아 싶을 정도로 따가울때도 있음 냄새도 참치캔기름임 이거 바르면 손도 노래지고 잘 안말리면 베개도 노래짐 개봉하고 후딱 써야지 안그럼 산화돼서 더 노래진대요 근데도 저는 이거 3통째 쓰고있습니다 이니프리 비타앰플도 써봤는데 보습미백 둘다 코스알엑스 압승ㅋㅋㅋ 민감하신분들은 이니프리가 나을거같기도한데 급속미백 원하시는 분들은 이거 무조건 사세요 약국템으로도 없애기 쉽지않던 잡티들 없어지는건 말할것도 없고 피부가 진심 말갛게 하얘짐 친구들이랑 인생네컷 찍고 하면 확실히 티남 저는 전에 기획으로 준 펩타이드 세럼이랑 궁합 잘맞는거같아서 피부 컨디션 평소엔 리샷 민감한날엔 펩타이드세럼 쓰고 비타세럼 두번씩 레이어링하고 한 5분정도 말려놨다가 위에 보습감 있는 에센스고쥰 밀크랑 고보습 크림으로 마무리하는데 확실히 조음 나이트케어용으로만 쓰세요 낮에 괜히 바르고 선크림 바르면 뭔가 찝찝함ㅋㅋㅋ,"이거, 살았는지",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
왕귀여움 왕좋음 냄새도 좋름 가성비도 좋음 꼬옥 사야하는 제품,"왕귀여움, 왕좋음",구달 청귤 비타C 잡티케어 세럼,건성,"잡티, 보습"
1 향이 좋아요 개인적으로 상큼한 향이 좋았어요 2 피부가 쫀쫀해요바르고 나면 쫀쫀하게 스며들어요 3 묽은 제형이지만 흘러내리지 않아서 좋았어요 1 가격이 넘 비싸요세일할 안 사용 2 잡티가 사라지는지 의문이에요꾸준히 썼는데 드라마틱한 큰 효과는 없었어용 3 사바사로 친구는 제품을 쓰고 피부가 뒤집어졌습니다 테스트 하시고 구매하세요예민하신 분들 주의 4 미백효과가 있다고 하는데 없어요,"향이, 좋아요",구달 청귤 비타C 잡티케어 세럼,건성,"잡티, 보습"
비타민 가 풍부해 피부의 잡티와 톤을 개선하는 데 효과적입니다,"비타민, 풍부해",구달 청귤 비타C 잡티케어 세럼,건성,"잡티, 보습"
상큼한 구달 콜라보 워낙 잘 썼던 제품이라 샀습니다,"상큼한, 구달",구달 청귤 비타C 잡티케어 세럼,건성,"잡티, 보습"
